"Violation ID","Primary Building Identifier","Primary Boro Identifier","Primary Borough Name","Primary House Number","Primary Low House Number","Primary High House Number","Primary Street Name","Primary Postcode","Development Name","TDS Number","Stairhall Number","NYCHA Address Section BoroID","NYCHA Address Section Borough","NYCHA Address Section House Number","NYCHA Address Section Street Name","NYCHA Address Section PostCode","Apartment","Story","Block","Lot","Violation Description","Class","Inspection Date","Approved Date","Order Number","Issued in Error","Latitude","Longitude","Community Board","Council District","BIN","BBL","Census Tract (2020)","Neighborhood Tabulation Area (NTA) (2020)"
"18691905","807796","3","BROOKLYN","422","422","430","BLAKE AVENUE","11212","VAN DYKE I","61","20","3","BROOKLYN","422","BLAKE AVENUE","11212","7H","7","03777","0001","§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE CEILING   IN THE  4th ROOM  FROM NORTH AT EAST LOCATED AT APT 7H, 7th STORY, 2nd APARTMENT FROM NORTH AT EAST","B","03/08/2026","03/08/2026","508","N","40.666473","-73.903929","316","41","3328040","3037770001","910","BK1602"
"18803336","379363","3","BROOKLYN","1060","1060","1060","MYRTLE AVENUE","11206","303 VERNON AVENUE","156","25","3","BROOKLYN","303","VERNON AVENUE","11206","15A","15","01585","0001","§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING, WEST AND EAST WALLS   IN THE  BATHROOM  LOCATED AT APT 15A, 15th STORY, 1st APARTMENT FROM WEST AT NORTH","B","04/21/2026","04/22/2026","508","N","40.696506","-73.939325","303","36","3042881","3015850001","283","BK0302"
"18803337","379363","3","BROOKLYN","1060","1060","1060","MYRTLE AVENUE","11206","303 VERNON AVENUE","156","25","3","BROOKLYN","303","VERNON AVENUE","11206","15A","15","01585","0001","§ 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE CAULKING AROUND BATHTUB   IN THE  BATHROOM  LOCATED AT APT 15A, 15th STORY, 1st APARTMENT FROM WEST AT NORTH","A","04/21/2026","04/22/2026","502","N","40.696506","-73.939325","303","36","3042881","3015850001","283","BK0302"
"18803339","379363","3","BROOKLYN","1060","1060","1060","MYRTLE AVENUE","11206","303 VERNON AVENUE","156","25","3","BROOKLYN","303","VERNON AVENUE","11206","15A","15","01585","0001","§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING   IN THE  KITCHEN  LOCATED AT APT 15A, 15th STORY, 1st APARTMENT FROM WEST AT NORTH","B","04/21/2026","04/22/2026","508","N","40.696506","-73.939325","303","36","3042881","3015850001","283","BK0302"
"18803340","379363","3","BROOKLYN","1060","1060","1060","MYRTLE AVENUE","11206","303 VERNON AVENUE","156","25","3","BROOKLYN","303","VERNON AVENUE","11206","15A","15","01585","0001","§  27-2005 ADM CODE  PAINT METAL IN ACCORDANCE WITH DEPT. REGULATION RISER AT NORTH WALL   IN THE  4th ROOM  FROM EAST LOCATED AT APT 15A, 15th STORY, 1st APARTMENT FROM WEST AT NORTH","A","04/21/2026","04/22/2026","554","N","40.696506","-73.939325","303","36","3042881","3015850001","283","BK0302"
"18732264","989840","1","MANHATTAN","505","505","513","EAST 120 STREET","10035","WAGNER","74","3","1","MANHATTAN","505","EAST 120 STREET","10035","10H","10","01808","0001","§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD-PAINT THAT IS PEELING OR ON A DETERIORATED SUBSURFACE AND EITHER TESTED INCONCLUSIVE FOR LEAD CONTENT AT 0.5MG/CM2 OR TESTED POSITIVE FOR LEAD CONTENT ON A METAL OR CERAMIC SUBSTRATE AS SET FORTH IN (28 RCNY §11-07(b)) USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(b)(2).          1st DOOR FRAME  FROM WEST AT NORTH WALL IN THE  3rd ROOM  FROM EAST AT SOUTH LOCATED AT APT 10H, 10th STORY, 2nd APARTMENT FROM SOUTH AT WEST","C","03/19/2026","03/20/2026","624","N","40.797582","-73.931095","111","8","1081286","1018080001","192","MN1102"
"18838545","809705","3","BROOKLYN","162","162","164","TROY AVENUE","11213","ALBANY","31","6","3","BROOKLYN","162","TROY AVENUE","11213","7A","7","01352","0080","§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD-PAINT THAT IS PEELING OR ON A DETERIORATED SUBSURFACE AND EITHER TESTED INCONCLUSIVE FOR LEAD CONTENT AT 0.5MG/CM2 OR TESTED POSITIVE FOR LEAD CONTENT ON A METAL OR CERAMIC SUBSTRATE AS SET FORTH IN (28 RCNY §11-07(b)) USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(b)(2).          1st DOOR FRAME  FROM SOUTH AT WEST WALL IN THE  FOYER  LOCATED AT APT 7A, 7th STORY, 1st APARTMENT FROM NORTH AT EAST","C","04/29/2026","04/29/2026","624","N","40.673975","-73.93623","308","36","3324617","3013520080","343","BK0802"
"18838547","809705","3","BROOKLYN","162","162","164","TROY AVENUE","11213","ALBANY","31","6","3","BROOKLYN","162","TROY AVENUE","11213","7A","7","01352","0080","§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD-PAINT THAT IS PEELING OR ON A DETERIORATED SUBSURFACE AND EITHER TESTED INCONCLUSIVE FOR LEAD CONTENT AT 0.5MG/CM2 OR TESTED POSITIVE FOR LEAD CONTENT ON A METAL OR CERAMIC SUBSTRATE AS SET FORTH IN (28 RCNY §11-07(b)) USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(b)(2).          1st DOOR FRAME  FROM EAST AT SOUTH WALL,         1st WINDOW FRAME  FROM WEST AT NORTH WALL IN THE  BATHROOM  LOCATED AT APT 7A, 7th STORY, 1st APARTMENT FROM NORTH AT EAST","C","04/29/2026","04/29/2026","624","N","40.673975","-73.93623","308","36","3324617","3013520080","343","BK0802"
"18838548","809705","3","BROOKLYN","162","162","164","TROY AVENUE","11213","ALBANY","31","6","3","BROOKLYN","162","TROY AVENUE","11213","7A","7","01352","0080","§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(B)(2)           CEILING,         EAST WALL,         WEST WALL IN THE  1st ROOM  FROM EAST AT SOUTH LOCATED AT APT 7A, 7th STORY, 1st APARTMENT FROM NORTH AT EAST","C","04/29/2026","04/29/2026","617","N","40.673975","-73.93623","308","36","3324617","3013520080","343","BK0802"
"18838549","809705","3","BROOKLYN","162","162","164","TROY AVENUE","11213","ALBANY","31","6","3","BROOKLYN","162","TROY AVENUE","11213","7A","7","01352","0080","§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD-PAINT THAT IS PEELING OR ON A DETERIORATED SUBSURFACE AND EITHER TESTED INCONCLUSIVE FOR LEAD CONTENT AT 0.5MG/CM2 OR TESTED POSITIVE FOR LEAD CONTENT ON A METAL OR CERAMIC SUBSTRATE AS SET FORTH IN (28 RCNY §11-07(b)) USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(b)(2).          1st RADIATOR  FROM NORTH AT EAST WALL,         SOUTH WALL,         1st WINDOW FRAME  FROM EAST AT SOUTH WALL,         1st WINDOW FRAME  FROM NORTH AT EAST WALL IN THE  1st ROOM  FROM EAST AT SOUTH LOCATED AT APT 7A, 7th STORY, 1st APARTMENT FROM NORTH AT EAST","C","04/29/2026","04/29/2026","624","N","40.673975","-73.93623","308","36","3324617","3013520080","343","BK0802"
